iter	RMSE
631	1.422304559
632	1.421663392
633	1.421029963
634	1.419895945
635	1.419256608
636	1.418594728
637	1.417700499
638	1.416819636
639	1.416185056
640	1.414661576
641	1.413332556
642	1.412368826
643	1.411472263
644	1.410535494
645	1.409680485
646	1.408391161
647	1.407116234
648	1.40634879
649	1.405565661
650	1.404272177
651	1.403162198
652	1.402581877
653	1.401669629
654	1.401087963
655	1.400463284
656	1.399612851
657	1.399221752
658	1.398071237
659	1.397500714
660	1.396749785
661	1.395814256
662	1.394653372
663	1.393504769
664	1.392846736
665	1.391562569
666	1.39080986
667	1.390176145
668	1.389225445
669	1.38823743
670	1.387269389
671	1.385920678
672	1.385368324
673	1.384725201
674	1.384088502
675	1.383087113
676	1.38236116
677	1.381699255
678	1.380632244
679	1.379707357
680	1.378410388
681	1.377866912
682	1.377557593
683	1.376142064
684	1.375405075
685	1.374496182
686	1.374049703
687	1.373943344
688	1.373193356
689	1.373052958
690	1.371907055
691	1.370574315
692	1.369766768
693	1.369000214
694	1.367956367
695	1.366795113
696	1.366328978
697	1.365906405
698	1.364649832
699	1.363758346
700	1.362713582
701	1.361865286
702	1.360638045
703	1.359754281
704	1.358672261
705	1.357926394
706	1.357877038
707	1.356777092
708	1.355514033
709	1.354443629
710	1.353143464
711	1.353052766
712	1.351807088
713	1.351200711
714	1.35028025
715	1.348902758
716	1.348252016
717	1.347241392
718	1.34634234
719	1.345286117
720	1.344647375
721	1.343858276
722	1.342822377
723	1.342030062
724	1.341331525
725	1.340748019
726	1.339720641
727	1.338978303
728	1.338157199
729	1.337001829
730	1.335881519
731	1.33535989
732	1.334114198
733	1.333407309
734	1.332618761
735	1.331942157
736	1.331065958
737	1.329995598
738	1.329226352
739	1.328052554
740	1.327375412
741	1.326571831
742	1.325523692
743	1.324600382
744	1.323446175
745	1.322772562
746	1.321730826
747	1.320713654
748	1.319831561
749	1.31976129
750	1.318964525
751	1.318233399
752	1.317544749
753	1.316965038
754	1.316175739
755	1.315198881
756	1.314429157
757	1.313530612
758	1.312539767
759	1.311617379
760	1.311115944
761	1.310093383
762	1.309427033
763	1.308728258
764	1.307586321
765	1.306847545
766	1.306123439
767	1.305349219
768	1.304121372
769	1.303191971
770	1.302215038
771	1.301381927
772	1.30048548
773	1.299616625
774	1.298578159
775	1.298052532
776	1.296955192
777	1.295976479
778	1.295007314
779	1.294526812
780	1.293838918
781	1.293166079
782	1.292283179
783	1.291317026
784	1.290015191
785	1.289290767
786	1.288423868
787	1.287307502
788	1.286455479
789	1.285835725
790	1.284902375
791	1.284021509
792	1.283244054
793	1.282609509
794	1.281447946
795	1.280467229
796	1.279661584
797	1.278799876
798	1.277675385
799	1.277045972
800	1.276289786
801	1.275773555
802	1.275352172
803	1.274334373
804	1.273603748
805	1.272949706
806	1.271950995
807	1.271080671
808	1.270282025
809	1.269300722
810	1.268128447
811	1.267666653
812	1.266916619
813	1.265596861
814	1.264792874
815	1.264072213
816	1.263450246
817	1.262514322
818	1.261907409
819	1.261068201
820	1.260296847
821	1.259642699
822	1.259030486
823	1.258944628
824	1.258353669
825	1.2579227
826	1.256746608
827	1.255600477
828	1.25463706
829	1.253784237
830	1.253184602
831	1.252349596
832	1.25166852
833	1.250692946
834	1.250156516
835	1.249437343
836	1.248678285
837	1.248003992
838	1.247118721
839	1.24650617
840	1.246158018
841	1.245754692
842	1.245400416
843	1.244656434
844	1.24390574
845	1.243100152
846	1.242233856
847	1.241260507
848	1.240678394
849	1.239944411
850	1.238802055
851	1.238082722
852	1.236955886
853	1.235957249
854	1.235276314
855	1.234479551
856	1.233716112
857	1.232552401
858	1.231840917
859	1.231191591
860	1.23017189
861	1.229434367
862	1.229402494
863	1.228868985
864	1.228289105
865	1.227335576
866	1.22654432
867	1.225866242
868	1.225241263
869	1.224331553
870	1.223723922
871	1.222736886
872	1.222360503
873	1.221271733
874	1.220463542
875	1.219692756
876	1.218950803
877	1.218323219
878	1.217280134
879	1.216480113
880	1.215633686
881	1.214625726
882	1.213924164
883	1.213122974
884	1.212491138
885	1.211642765
886	1.210576589
887	1.210526345
888	1.209955285
889	1.209187888
890	1.208248542
891	1.207547285
892	1.206990872
893	1.206388095
894	1.205275019
895	1.204226384
896	1.204178896
897	1.203733764
898	1.203082558
899	1.202306643
900	1.202077548
901	1.201421618
902	1.200918195
903	1.200389689
904	1.199954208
905	1.199197892
906	1.198570659
907	1.197339679
908	1.196652529
909	1.195926682
910	1.195235416
911	1.194548441
912	1.193727951
913	1.193105848
914	1.19303864
915	1.192060135
916	1.191406944
917	1.190608521
918	1.190027517
919	1.189324948
920	1.188827062
921	1.188231652
922	1.187696984
923	1.186862249
924	1.186238115
925	1.185616527
926	1.184771295
927	1.184181932
928	1.183341563
929	1.183141658
930	1.183075806
931	1.182058085
932	1.181770803
933	1.181738343
934	1.180602764
935	1.180081713
936	1.179255357
937	1.178341293
938	1.177716164
939	1.176797354
940	1.176135493
941	1.175663647
942	1.174409542
943	1.173878626
944	1.173235996
945	1.172252932
946	1.171448879
947	1.170700721
948	1.169841575
949	1.168856352
950	1.168232751
951	1.167268041
952	1.166413203
953	1.165765371
954	1.164961409
955	1.164259976
956	1.163593847
957	1.16273416
958	1.162142153
959	1.161238219
960	1.160632274
961	1.160103908
962	1.15935033
963	1.158461537
964	1.157409993
965	1.156790971
966	1.156054423
967	1.155071995
968	1.153999778
969	1.153373149
970	1.152554477
971	1.151847068
972	1.151031502
973	1.150202314
974	1.149639015
975	1.149097923
976	1.14811035
977	1.147493665
978	1.146876565
979	1.146010425
980	1.145231668
981	1.144266197
982	1.143873313
983	1.143282824
984	1.142749676
985	1.142072399
986	1.1414582
987	1.140731179
988	1.140066493
989	1.139430079
990	1.138692406
991	1.138153451
992	1.137344582
993	1.136465858
994	1.135799996
995	1.135076976
996	1.134545754
997	1.134221584
998	1.133469075
999	1.132444085
